iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
0	1.0	150.0	[3]	set()	1.7162649630958149	1.6515112945211143	1.6554415603312047	0.0	0	[154.47702119126916]	0.43039696488233803	0	0	0	0	0	0.202	0.75	0	0
496	1.0	150.0	[3]	set()	2.3688800469775644	2.286652464901151	2.2449149060859837	0.0	0	[859.1187773272395]	0.406559940497129	0	0	0	0	0	0.0705	0.5	0	0
310	1.0	150.0	[3, 3, 2]	set()	5.841898979806453	3.9779750455238525	4.573019624495742	0.0	0	[350.5331149790436, 415.3724075049501, 521.0261265747249]	1.134897209393703	0	0	0	0	0	0.0	0.0	0	0
186	1.0	150.0	[2, 3]	set()	3.9984433843808613	3.206618217212291	3.2005256154713058	0.0	0	[397.4418271277149, 555.0728403031826]	1.0182671729095771	0	0	0	0	0	0.069375	0.25	0	0
62	1.0	150.0	[3, 2, 3]	set()	4.414189143270088	3.380227841058405	3.540317727661021	0.0	0	[428.9682530798018, 527.8203073543208, 863.7378145940602]	1.2298667109957626	0	0	0	0	0	0.017125	0.125	0	0
372	1.0	150.0	[3, 3]	set()	4.6798933324379615	3.8555641933302667	3.9322562978416133	0.0	0	[217.93237290992585, 290.3800755739212]	0.7656205244778678	0	0	0	0	0	0.152125	0.5	0	0
248	1.0	150.0	[3, 3]	set()	4.789806081750511	4.360775902623449	4.401338726244731	0.0	0	[312.2962359338999, 811.3450109958649]	1.02496135489082	0	0	0	0	0	0.140625	0.5	0	0
434	1.0	150.0	[3, 3, 3, 3, 3]	set()	6.6082382040219985	5.29649667452195	5.603754965637857	0.0	0	[47.50811281598821, 536.4694888703525, 624.7424796957968, 626.4589265920222, 834.4201047439124]	1.3441303554648472	0	0	0	0	0	0.46499999999999997	3.0	0	0
249	1.0	150.0	[3]	set()	2.3506884339083847	2.282209232253081	2.233419098248303	0.0	0	[834.3501146882772]	0.44892103449109744	0	0	0	0	0	0.31224999999999997	0.875	0	0
124	1.0	150.0	[3, 2, 2, 3, 3, 3, 3, 3]	set()	8.00698105869146	4.818612960696254	5.075066127391639	0.0	0	[124.29159924512322, 192.2311523399194, 220.1652186539298, 228.2454045121072, 535.8239901252091, 580.981930118348, 591.6919161937994, 690.227311803028]	1.723218743489352	0	0	0	0	0	0.24475000000000002	2.125	0	0
187	1.0	150.0	[3, 2]	set()	4.041405986696569	3.352097596916628	3.3572462990482546	0.0	0	[510.6531335040927, 571.5496058110148]	0.87676172548939	0	0	0	0	0	0.18875	0.5	0	0
63	1.0	150.0	[3, 3]	set()	4.323558968956483	3.7572051829529203	3.782081091336142	0.0	0	[623.9408778488595, 994.3931277375668]	0.6912478594653327	0	0	0	0	0	0.174375	1.0	0	0
373	1.0	150.0	[3, 3, 3, 2, 3]	set()	5.499527564240443	3.4323296777428496	3.739398255580727	0.0	0	[11.760595720261335, 195.6854029558599, 261.5146371535957, 387.8199371974915, 838.4377434307332]	1.4578221279763224	0	0	0	0	0	0.31525	2.25	0	0
311	1.0	150.0	[3, 3]	set()	4.933329516999692	4.42541887600132	4.26636169039235	0.0	0	[159.34734641298175, 705.706172157079]	0.9829042530690059	0	0	0	0	0	0.321125	1.0	0	0
1	1.0	150.0	[3, 3, 3, 3, 3]	set()	9.655287353392723	6.732620432188667	6.671165135575753	0.0	0	[203.7727619245735, 403.72147732658937, 502.7104443870485, 586.9530833758482, 641.2854848654508]	1.6093798217293127	0	0	0	0	0	0.394	2.25	0	0
497	1.0	150.0	[3, 3, 2, 3, 3, 2]	set()	9.033700166286955	6.486950225822227	6.991885569078832	0.0	0	[178.0306941521015, 330.9977618046105, 386.425356846303, 504.2405258864165, 909.6367084421216, 982.4265870265664]	1.634515545819746	0	0	0	0	0	0.11737500000000001	1.0	0	0
250	1.0	150.0	[2]	set()	4.9202591190729486	4.61871916673591	4.62063709562882	0.0	0	[797.1774598117918]	0.5042904862158093	0	0	0	0	0	0.0	0.0	0	0
188	1.0	150.0	[3, 2]	set()	5.378318677014601	5.1005398315607495	5.055197376859039	0.0	0	[149.5653281453997, 732.8917263075709]	0.9512051852216804	0	0	0	0	0	0.055875	0.375	0	0
125	1.0	150.0	[2, 3, 2, 3, 3]	set()	8.264688758319798	5.639214423115799	5.930609485652759	0.0	0	[295.20886354588873, 656.78586717695, 793.3334149420261, 939.094250507753, 962.1766925585042]	1.491438463353584	0	0	0	0	0	0.050625	0.75	0	0
435	1.0	150.0	[3, 2, 3, 2, 2, 2, 2]	set()	7.18864390603893	5.0217083806461424	4.6678918248246415	0.0	0	[30.794359743595123, 191.84567740547377, 240.6898085027933, 254.5154091871531, 575.600054115057, 671.7588061079235, 831.1129069071335]	1.7909117321270662	0	0	0	0	0	0.0375	0.625	0	0
374	1.0	150.0	[3, 3]	set()	3.458752019515007	3.1644268813021705	3.1916081905424445	0.0	0	[879.821116104722, 926.8225766718388]	0.44770925812965723	0	0	0	0	0	0.149375	0.75	0	0
64	1.0	150.0	[3, 3, 3, 3]	set()	6.3372042477956105	4.752471928263347	4.770211295161706	0.0	0	[78.45706345975545, 364.9119850045261, 463.0675211014492, 991.573505103588]	1.1629235273550638	0	0	0	0	0	0.11424999999999999	0.875	0	0
2	1.0	150.0	[3, 3, 2]	set()	4.387311802490298	3.773228021294108	3.8391212589363506	0.0	0	[158.33701938390732, 487.7179879695177, 537.4574438274466]	1.1635046131635725	0	0	0	0	0	0.330625	1.375	0	0
251	1.0	150.0	[3, 2]	set()	4.8594414386650975	4.665885479731658	4.487664567144138	0.0	0	[35.18873010762036, 891.1191821098328]	0.49237489015287395	0	0	0	0	0	0.00875	0.25	0	0
189	1.0	150.0	[2, 2]	set()	2.651487894767316	2.1795777776529555	2.2582053510827915	0.0	0	[166.7201742529869, 458.1373748369515]	0.9900085616800653	0	0	0	0	0	0.0	0.0	0	0
126	1.0	150.0	[3, 3]	set()	3.5819809424175237	2.9727935069833227	3.012059115856169	0.0	0	[126.15847634151578, 571.9197895377874]	0.9845402316772236	0	0	0	0	0	0.14075000000000001	0.5	0	0
312	1.0	150.0	[3, 2, 3, 3, 3, 3]	set()	12.576034898636342	8.35965318136704	8.389937100716162	0.0	0	[160.03519273363054, 404.7798324067156, 552.3301520561181, 594.7498965910615, 625.5342058348517, 646.4534229598939]	1.6097782493453512	0	0	0	0	0	0.19974999999999998	1.25	0	0
498	1.0	150.0	[3, 3, 3]	set()	5.388709024530337	4.560202319125569	4.578829164295798	0.0	0	[428.8690880169681, 457.9517183925232, 947.9854244273156]	0.9692641218406886	0	0	0	0	0	0.128625	0.625	0	0
436	1.0	150.0	[3, 2, 3, 3]	set()	5.252435820233263	3.7516587046621153	3.9016285399391384	0.0	0	[236.48854228667915, 476.8745310138911, 717.1690694522113, 851.7156119371964]	1.5791868961420614	0	0	0	0	0	0.160375	0.875	0	0
375	1.0	150.0	[3, 3]	set()	3.369721100910547	3.1428398678276883	3.164315217527421	0.0	0	[442.3520462587476, 730.4135488547955]	1.0727118116597185	0	0	0	0	0	0.464	1.375	0	0
3	1.0	150.0	[3]	set()	2.9334617783681534	2.528150669514036	2.5286303889541526	0.0	0	[687.791186850518]	0.6208565887773134	0	0	0	0	0	0.0	0.0	0	0
65	1.0	150.0	[3, 3, 2]	set()	4.5242048831	3.6781991163916805	3.8798299821469886	0.0	0	[23.68380742664605, 49.06711704097688, 301.7067874316126]	0.7802451579619909	0	0	0	0	0	0.002875	0.125	0	0
127	1.0	150.0	[3]	set()	2.4095967881300044	2.0779118581117917	2.0555167004484156	0.0	0	[784.6621191129088]	0.5209436175783797	0	0	0	0	0	0.027	0.125	0	0
190	1.0	150.0	[3, 3]	set()	5.151513273939591	4.643735681504614	4.636144140197761	0.0	0	[538.5969993658364, 642.2490000259131]	0.9359655606285937	0	0	0	0	0	0.18275	0.625	0	0
313	1.0	150.0	[3, 2, 3, 3, 3]	set()	6.395619841431846	4.523291012342228	4.701168605644687	0.0	0	[176.06970936606703, 609.1680574699643, 811.2627808004618, 970.2614173293114, 987.5919059850276]	1.4084974065125486	0	0	0	0	0	0.06975	0.75	0	0
66	1.0	150.0	[3]	set()	4.973229509807439	4.226420423692653	4.363461707542665	0.0	0	[25.58492962270975]	0.11904280927496699	0	0	0	0	0	0.003125	0.125	0	0
376	1.0	150.0	[3, 2, 3]	set()	3.9722113990368997	3.3506110416742945	3.42805524983875	0.0	0	[631.377998739481, 702.8175753685397, 732.9378786962479]	0.9369548654571487	0	0	0	0	0	0.171125	0.875	0	0
4	1.0	150.0	[3, 2]	set()	4.918841124716102	3.8205864807245784	3.759679835284166	0.0	0	[809.9729586392641, 974.7592532075942]	0.5607006763451278	0	0	0	0	0	0.0	0.0	0	0
499	1.0	150.0	[3, 3, 3]	set()	5.842029982772948	4.4962024466806785	4.632218458589603	0.0	0	[631.5766600891948, 793.8372013159096, 807.3926568031311]	0.9608568350524531	0	0	0	0	0	0.30175	1.5	0	0
252	1.0	150.0	[3, 3, 3, 3, 3, 3]	set()	6.671102543727654	5.0871895527692	5.386972987830262	0.0	0	[242.24619076993403, 493.4157506207013, 547.8621118236333, 559.0519205676516, 592.9233294446021, 811.2720524249996]	1.660828840545202	0	0	0	0	0	0.26387499999999997	2.25	0	0
128	1.0	150.0	[3, 3]	set()	4.167597409146605	3.7273716851958616	3.7047464067260885	0.0	0	[498.0106516741216, 561.0292930113548]	0.8827985531229234	0	0	0	0	0	0.18825	0.75	0	0
67	1.0	150.0	[3, 3]	set()	2.8541239422742466	2.605836188321034	2.5994379459357075	0.0	0	[403.9867588908548, 820.1221986673772]	1.0395835462381418	0	0	0	0	0	0.0675	0.375	0	0
437	1.0	150.0	[3, 2, 3]	set()	6.574708320170544	5.694619767624991	5.854858449382073	0.0	0	[319.94154341012137, 543.9291845541447, 686.7855422724682]	1.3413199474218165	0	0	0	0	0	0.16425	0.625	0	0
314	1.0	150.0	[3]	set()	3.662472803851437	3.480504612698487	3.3921165063777594	0.0	0	[89.92841886356473]	0.30237217919130405	0	0	0	0	0	0.02225	0.25	0	0
5	1.0	150.0	[3]	set()	2.4191357620959053	2.333176487750624	2.297105181969851	0.0	0	[727.0565812941641]	0.586164502850658	0	0	0	0	0	0.19324999999999998	0.5	0	0
191	1.0	150.0	[3, 3, 3, 3, 3]	set()	6.512523524635499	5.039024997359971	4.842938931034281	0.0	0	[135.00019535422325, 165.4263192388079, 175.00056233257055, 516.1459485216237, 716.5707778185606]	1.4674796723541368	0	0	0	0	0	0.348375	1.875	0	0
253	1.0	150.0	[3, 3]	set()	6.174735316544872	5.693798889529019	5.749058259050451	0.0	0	[228.89934154227376, 895.3844895586371]	0.8440895406620108	0	0	0	0	0	0.081	0.625	0	0
377	1.0	150.0	[2, 3]	set()	6.19492049574385	5.265783747177512	5.092412464093207	0.0	0	[81.56739245168865, 279.82969395816326]	0.7616639923779183	0	0	0	0	0	0.159875	0.625	0	0
438	1.0	150.0	[3, 3]	set()	3.3944559306839297	2.790730730128094	2.739450780128699	0.0	0	[512.4600608833134, 901.1925216764212]	0.9385934974858381	0	0	0	0	0	0.134375	0.625	0	0
129	1.0	150.0	[3, 3, 3]	set()	9.640773302187434	7.146985647003792	7.236550599836034	0.0	0	[26.152772596105933, 260.22305709440616, 303.3648626360431]	0.8226319501183017	0	0	0	0	0	0.0065	0.25	0	0
315	1.0	150.0	[2, 2, 3]	set()	3.339633440839414	2.800915200016135	2.746210188079955	0.0	0	[445.7606531119365, 595.883778994903, 704.0093708783388]	1.2457094128081607	0	0	0	0	0	0.074	0.25	0	0
6	1.0	150.0	[3, 2, 3, 3, 2, 3]	set()	7.0178078867362546	4.907403728310647	4.802621406447204	0.0	0	[78.53532559238374, 194.27310289968517, 368.7420142139928, 401.339821149576, 922.7883599959569, 993.0155101152094]	1.4263481083781577	0	0	0	0	0	0.135625	1.125	0	0
192	1.0	150.0	[2, 3]	set()	5.075629391351113	4.364042121295752	4.376783171995967	0.0	0	[105.04081837996448, 619.9954841285944]	0.946144684845265	0	0	0	0	0	0.142875	0.375	0	0
439	1.0	150.0	[3]	set()	2.434698783538169	2.242136333663004	2.277530262859137	0.0	0	[165.96571262925863]	0.449431296063841	0	0	0	0	0	0.104375	0.125	0	0
378	1.0	150.0	[2, 2]	set()	3.8219189883005154	2.8944114326611543	3.07539601717762	0.0	0	[677.7091696858406, 960.6686227489264]	0.7481424226206808	0	0	0	0	0	0.0	0.0	0	0
68	1.0	150.0	[2, 3, 2, 3, 3, 3, 2, 2]	set()	10.82336646427992	7.6173098022470676	8.44798453339808	0.0	0	[36.096061347052455, 46.91507047744459, 179.40462066349772, 181.7308442952114, 291.0247963721524, 409.0814618724585, 491.05953614167095, 496.8290448505157]	1.5253368413541886	0	0	0	0	0	0.064875	0.875	0	0
254	1.0	150.0	[3, 2, 2]	set()	4.970829684799954	4.446529828877631	4.504183328082229	0.0	0	[642.3747320751359, 720.7771758548915, 934.5920719206332]	0.992124351082742	0	0	0	0	0	0.375	1.5	0	0
316	1.0	150.0	[2, 3]	set()	4.533197156834529	3.924657346220831	3.9308053339901883	0.0	0	[371.564242798297, 545.6018769182265]	1.0305838697237462	0	0	0	0	0	0.27249999999999996	1.0	0	0
130	1.0	150.0	[2, 3, 3, 3]	set()	5.433366238518304	4.533358934567991	4.440854146971615	0.0	0	[111.22803429887806, 676.8705104477704, 761.9511852645901, 817.5389752723277]	1.2472703887787275	0	0	0	0	0	0.25875000000000004	1.75	0	0
440	1.0	150.0	[3]	set()	2.21692009090995	2.09852785292956	2.0907507990856726	0.0	0	[441.76374026574194]	0.6863488368170403	0	0	0	0	0	0.11025	0.25	0	0
193	1.0	150.0	[3]	set()	5.103080981239694	4.657977861995937	4.550511026641271	0.0	0	[161.86487255617976]	0.44274936582225927	0	0	0	0	0	0.0	0.0	0	0
379	1.0	150.0	[3, 2, 3]	set()	6.83262345242531	4.8806320080092105	4.85526050665358	0.0	0	[256.0747198294848, 518.0493369698524, 797.7334721945226]	1.3793640997343686	0	0	0	0	0	0.057375	0.25	0	0
69	1.0	150.0	[3, 3, 3]	set()	6.094438875261997	5.115618120521027	5.018027855120463	0.0	0	[34.56587065011263, 81.78392155720626, 677.2957944776863]	0.9341246774474459	0	0	0	0	0	0.12925	0.625	0	0
441	1.0	150.0	[3]	set()	2.974558583619646	2.6529760547030605	2.6590300540280385	0.0	0	[516.3825696799904]	0.6926103072967925	0	0	0	0	0	0.25	0.5	0	0
