iter	recomb_rate	mut_rate	recomb_type	recomb_node	ARG_length_1	ARG_length_2	ARG_length_3	ARG_length_4	root_height_change	bp	bp_pos_deviation	rank_stat	info_sites_global	confounding_info_sites	consistent_info_sites	weighted_consistent_info_sites	rf_dist	no_neu_recurr_mut	no_adv_recurr_mut	info_sites_imbalance
124	0.1	25.0	[3]	{0}	2.656230230083684	2.396739615524296	2.242352042008525	0.0	0	158.91467197798187	341.08532802201813	1.7483753391450625	49	27	38	24.865440159339457	2.4540711753972975	0	0	27
248	0.1	25.0	[1]	{2}	1.4978845926959796	1.1052496529235862	1.1052496529235862	0.0	0	493.0770564824344	6.9229435175656135	1.0606601717798212	7	1	4	2.6311541129648686	0.0	0	0	1
310	0.1	25.0	[1]	{1}	2.293071973308639	2.2628352230009363	2.2628352230009363	0.0	0	622.560782590881	122.56078259088099	1.4458731732254195	46	18	32	19.97517652227357	0.0	0	0	18
372	0.1	25.0	[3]	{1}	6.737787844477052	6.557176335708169	6.588795864682846	0.0	0	220.23557638749492	279.7644236125051	7.147249546726075	125	119	122	79.42190380544962	12.396661830187377	0	0	119
186	0.1	25.0	[2]	{2}	3.2012940096010394	2.6252528472411405	2.79045480784117	0.0	0	140.86388703435662	359.1361129656434	1.9812009571733007	59	49	54	33.32273880358041	1.6498059893434398	0	0	49
62	0.1	25.0	[3]	{2}	1.3388113269470452	1.0850895626467882	1.067084431192738	0.0	0	787.3426338192077	287.34263381920766	2.60423717853257	17	13	15	9.504916295627131	0.5664683301256621	0	0	13
434	0.1	25.0	[3]	{2}	4.493347416632689	3.572184553933707	3.85113487391322	0.0	0	915.9734258428216	415.9734258428216	2.2712394820115707	66	56	61	33.390302133701745	4.519590983134827	0	0	56
0	0.1	25.0	[3]	{2}	1.907321777204697	1.5599667216115507	1.5690097146039101	0.0	0	276.3252260629088	223.67477393709117	1.069778949862942	20	12	16	10.896601808503267	1.1485762572776395	0	0	12
496	0.1	25.0	[1]	{2}	4.732986919688102	3.9094335412052703	3.9094335412052703	0.0	0	551.4401406981051	51.4401406981051	0.29277002188455997	9	1	5	3.6763204220943155	0.0	0	0	1
125	0.1	25.0	[3]	{2}	5.407224693311097	4.684831566284557	4.658459184224874	0.0	0	674.5284190401436	174.5284190401436	5.30885970918558	87	55	71	50.94478952399641	4.975431834032251	0	0	55
